L   1	1610822
L   2	100012811
L   3	1643378
L   4	1774163
L   5	1732374
L   6	100012813
L   7	1910984
L   8	1640342
L   9	101582256
L  10	101582257
L  11	101582258
L  12	101582259
L  13	1762148
L  14	101582261
L  15	1912982
L  16	101582263
L  17	1762303
L  18	101582265
L  19	1762309
L  20	101582267
L  21	101582268
L  22	101582269
L  23	1760045
L  24	101582271
L  25	1760082
L  26	101582273
L  27	101582274
L  28	101582275
L  29	101582276
L  30	101582277
L  31	1797530
L  32	101582279
L  33	101582280
L  34	101582281
L  35	101582282
L  36	101582283
L  37	101582284
L  38	101582285
L  39	101582286
L  40	101582287
L  41	101582288
L  42	101619476
L  43	101582290
L  44	101582291
L  45	101582292
L  46	101582293
L  47	101582294
L  48	101582295
L  49	101582296
L  50	101582297
L  51	101582298
L  52	101582299
L  53	101582900
L  54	101582901
L  55	101582902
L  56	101582903
L  57	101582904
L  58	101582905
L  59	101582906
L  60	101582907
L  61	101582908
L  62	101582909
L  63	101582910
L  64	101582911
L  65	101582912
L  66	101582913
L  67	101582914
L  68	101582915
L  69	101582916
L  70	101582917
L  71	101582918
L  72	101582919
L  73	101582920
L  74	101582921
L  75	101582922
L  76	101582923
L  77	101582924
L  78	101582925
L  79	101582926
L  80	101582927
L  81	101582928
L  82	101582929
L  83	101582930
L  84	101582931
L  85	101582932
L  86	101582933
L  87	101582934
L  88	101582935
L  89	101582936
L  90	101582937
L  91	101582938
L  92	101582939
L  93	101582940
L  94	101582941
L  95	101582942
L  96	101582943
L  97	101582944
L  98	101582945
L  99	101582946
L 100	101582947
L 101	101582948
L 102	101582949
L 103	101582950
L 104	101582951
L 105	101582952
L 106	101582953
L 107	101630782
L 108	101582955
L 109	101582956
L 110	101582957
L 111	101582958
L 112	101582959
L 113	101582960
L 114	101582961
L 115	101582962
L 116	101582963
L 117	101582964
L 118	101581975
L 119	101582966
L 120	101582967
L 121	101582968
L 122	101582969
L 123	101582970
L 124	101582971
L 125	101582972
L 126	101582973
L 127	101582974
L 128	101582975
L 129	101582976
L 130	101582977
L 131	101582978
L 132	101582979
L 133	101582980
L 134	101582981
L 135	101582982
L 136	101582983
L 137	101582984
L 138	101582985
L 139	101582986
L 140	101582987
L 141	101582988
L 142	101582989
L 143	101582990
L 144	101582991
L 145	101582992
L 146	101582993
L 147	101582994
L 148	101582995
L 149	101582996
L 150	101582997
L 151	101582998
L 152	101582999
L 153	101583000
L 154	101583001
L 155	101602851
L 156	101583003
L 157	101583004
L 158	101583005
L 159	101583006
L 160	101583007
L 161	101583008
L 162	101583009
L 163	101583010
L 164	101583011
L 165	101583012
L 166	101581976
L 167	101582383
L 168	101583015
L 169	101583016
L 170	101583017
L 171	101583018
L 172	101583019
L 173	101583020
L 174	101602627
L 175	101583022
L 176	101583023
L 177	101583024
L 178	101583025
L 179	101583026
L 180	101583027
L 181	101583028
L 182	101583029
L 183	101583030
L 184	101583031
L 185	101583032
L 186	101583033
L 187	101583034
L 188	101583035
L 189	101583036
L 190	101583037
L 191	101602625
L 192	101583039
L 193	101583040
L 194	101583041
L 195	101583042
L 196	101583043
L 197	101583044
L 198	101583045
L 199	101583046
L 200	101583047
L 201	101639194
L 202	101639195
L 203	101639196
L 204	101639197
L 205	101639198
L 206	101639199
L 207	101640300
L 208	101640301
L 209	101640302
L 210	101148848
L 211	101640303
L 212	101640304
L 213	101640305
L 214	101640306
L 215	101640307
L 216	101640308
L 217	101640309
L 218	101640310
L 219	101640311
L 220	101640312
L 221	101355825
L 222	101640313
L 223	101640314
L 224	101640315
L 225	101640316
L 226	101640317
L 227	101640318
L 228	101640319
L 229	101640320
L 230	101640321
L 231	101149788
L 232	101640322
L 233	101640323
L 234	101640324
L 235	101640325
L 236	101640326
L 237	101640327
L 238	101640328
L 239	101640329
L 240	101640330
L 241	101640331
L 242	101640332
L 243	101149797
L 244	101640333
L 245	101640334
L 246	101640335
L 247	101640336
L 248	101640337
L 249	101640338
L 250	101640339
L 251	101640340
L 252	101640341
L 253	101640342
L 254	101640343
L 255	101640344
L 256	101640345
L 257	101640346
L 258	101640347
L 259	101640348
L 260	101640349
L 261	101640350
L 262	101640351
L 263	101640352
L 264	101640353
L 265	101640354
L 266	101180524
L 267	101640355
L 268	101640356
L 269	101640357
L 270	101640358
L 271	101640359
L 272	101640360
L 273	101640361
L 274	101640362
L 275	101640363
L 276	101640364
L 277	101640365
L 278	101640366
L 279	101180525
L 280	101149018
L 281	101640367
L 282	101640368
L 283	101640369
L 284	101640370
L 285	101640371
L 286	101640372
L 287	101640373
L 288	101640374
L 289	101640375
L 290	101640376
L 291	101640377
L 292	101640378
L 293	101640379
L 294	101149032
L 295	101640380
L 296	101640381
L 297	101640382
L 298	101640383
L 299	101640384
L 300	101640385
L 301	101640386
L 302	101640387
L 303	101640388
L 304	101640389
L 305	101640390
L 306	101640391
L 307	101640392
L 308	101149046
L 309	101640393
L 310	101640394
L 311	101180610
L 312	101640395
L 313	101640396
L 314	101640397
L 315	101640398
L 316	101640399
L 317	101640400
L 318	101640401
L 319	101640402
L 320	101640403
L 321	101640404
L 322	101640405
L 323	101640406
L 324	101640407
L 325	101640408
L 326	101640409
L 327	101640410
L 328	101640411
L 329	101640412
L 330	101640413
L 331	101640414
L 332	101640415
L 333	101640416
L 334	101640417
L 335	101640418
L 336	101640419
L 337	101640420
L 338	101640421
L 339	101640422
L 340	101640423
L 341	101640424
L 342	101640425
L 343	101640426
L 344	101640427
L 345	101640428
L 346	101640429
L 347	101149085
L 348	101640430
L 349	101640431
L 350	101640432
L 351	101640433
L 352	101640434
L 353	101640435
L 354	101640436
L 355	101149093
L 356	101640437
L 357	101640438
L 358	101640439
L 359	101640440
L 360	101640441
L 361	101640442
L 362	101640443
L 363	101640444
L 364	101640445
L 365	101640446
L 366	101640447
L 367	101640448
L 368	101640449
L 369	101640450
L 370	101640451
L 371	101640452
L 372	101640453
L 373	101640454
L 374	101640455
L 375	101640456
L 376	101640457
L 377	101640458
L 378	101640459
L 379	101640460
L 380	101640461
L 381	101640462
L 382	101640463
L 383	101640464
L 384	101640465
L 385	101640466
L 386	101640467
L 387	101640468
L 388	101640469
L 389	101355679
L 390	101640470
L 391	101640471
L 392	101640472
L 393	101640473
L 394	101640474
L 395	101640475
L 396	101640476
L 397	101640477
L 398	101640478
L 399	101640479
L 400	101640480
L 401	101640481
L 402	101640482
L 403	101640483
L 404	101640484
L 405	101640485
L 406	101640486
L 407	101640487
L 408	101640488
L 409	101640489
L 410	101640490
L 411	101640491
L 412	101640492
L 413	101640493
L 414	101640494
L 415	101640495
L 416	101640496
L 417	101640497
L 418	101640498
L 419	101640499
L 420	101640500
L 421	101180717
L 422	101640501
L 423	101640502
L 424	101640503
L 425	101640504
L 426	101640505
L 427	101640506
L 428	101640507
L 429	101640508
L 430	101640509
L 431	101640510
L 432	101640511
L 433	101640512
L 434	101640513
L 435	101640514
L 436	101640515
L 437	101640516
L 438	101640517
L 439	101640518
L 440	101640519
L 441	101640520
L 442	101640521
L 443	101640522
L 444	101640523
L 445	101640524
L 446	101640525
L 447	101149185
L 448	101640526
L 449	101640527
L 450	101640528
L 451	101640529
L 452	101640530
L 453	101640531
L 454	101640532
L 455	101640533
L 456	101640534
L 457	101640535
L 458	101640536
L 459	101640537
L 460	101640538
L 461	101640539
L 462	101640540
L 463	101640541
L 464	101640542
L 465	101640543
L 466	101640544
L 467	101640545
L 468	101640546
L 469	101640547
L 470	101640548
L 471	101640549
L 472	101640550
L 473	101640551
L 474	101640552
L 475	101640553
L 476	101640554
L 477	101640555
L 478	101640556
L 479	101640557
L 480	101640558
L 481	101640559
L 482	101640560
L 483	101640561
L 484	101640562
L 485	101640563
L 486	101640564
L 487	101640565
L 488	101640566
L 489	101640567
L 490	101640568
L 491	101640569
L 492	101149230
L 493	101640570
L 494	101640571
L 495	101640572
L 496	101640573
L 497	101640574
L 498	101640575
L 499	101640576
L 500	101640577
L 501	101640578
L 502	101640579
L 503	101640580
L 504	101640581
L 505	101640582
L 506	101640583
L 507	101640584
L 508	101640585
L 509	101640586
L 510	101640587
L 511	101640588
L 512	101149250
L 513	101640589
L 514	101640590
L 515	101640591
L 516	101640592
L 517	101149255
L 518	101640593
L 519	101640594
L 520	101640595
L 521	101640596
L 522	101640597
L 523	101640598
L 524	101640599
L 525	101640600
L 526	101640601
L 527	101640602
L 528	101640603
L 529	101640604
L 530	101640605
L 531	101640606
L 532	101640607
L 533	101640608
L 534	101640609
L 535	101640610
L 536	101640611
L 537	101640612
L 538	101640613
L 539	101640614
L 540	101640615
L 541	101640616
L 542	101640617
L 543	101640618
L 544	101640619
L 545	101640620
L 546	101640621
L 547	101640622
L 548	101640623
L 549	101640624
L 550	101640625
L 551	101640626
L 552	101640627
L 553	101640628
L 554	101640629
L 555	101640630
L 556	101640631
L 557	101640632
L 558	101640633
L 559	101640634
L 560	101640635
L 561	101180825
L 562	101640636
L 563	101640637
L 564	101640638
L 565	101640639
L 566	101640640
L 567	101640641
L 568	101640642
L 569	101640643
L 570	101640644
L 571	101640645
L 572	101640646
L 573	101640647
L 574	101640648
L 575	101640649
L 576	101640650
L 577	101640651
L 578	101640652
L 579	101640653
L 580	101640654
L 581	101640655
L 582	101640656
L 583	101640657
L 584	101640658
L 585	101640659
L 586	101640660
L 587	101640661
L 588	101640662
L 589	101640663
L 590	101180911
L 591	101148620
L 592	101148905
L 593	101149729
L 594	101581977
L 595	101148705
L 596	101148802
L 597	101581978
L 598	101148901
L 599	101148900
L 600	101148615
L 601	101180900
L 602	101581979
L 603	101148532
L 604	101148701
L 605	101148531
L 607	101148612
L 608	101081798
L 609	101081696
L 610	101081495
L 611	101081795
L 612	101081796
L 613	101081793
L 614	101148604
L 615	101081490
L 616	101081492
L 617	101148524
L 618	101148601
L 619	101148603
L 620	101081899
L 621	101081797
L 622	101148528
L 623	101081493
L 624	101081491
L 625	101081693
L 626	101180722
L 627	101148523
L 628	101148602
L 629	101081792
L 630	101081488
L 631	101081487
L 632	101148600
L 633	101081691
L 634	101148521
L 635	101081897
L 636	101148618
L 637	101148530
L 638	101149496
L 639	101081699
L 640	101081698
L 641	101081799
L 642	101081695
L 643	101081494
L 644	101148527
L 645	101148606
L 646	101148605
L 647	101081489
L 648	101148522
L 649	101081692
L 650	101081898
L 651	101081896
L 652	101081690
L 653	101148520
L 654	101081486
L 655	101081893
L 656	101081791
L 657	101081892
L 658	101148518
L 659	101148517
L 660	101081889
L 661	101081888
L 662	101148512
L 663	101148513
L 664	101081887
L 665	101081787
L 666	101081895
L 667	101148519
L 668	101180812
L 669	101081485
L 670	101081891
L 671	101081484
L 672	101081483
L 673	101081789
L 674	101148516
L 675	101081481
L 676	101148514
L 677	101355828
L 678	101081786
L 679	101081683
L 680	101081479
L 681	101081894
L 682	101081689
L 683	101081688
L 684	101081686
L 685	101081685
L 686	101081480
L 687	101148511
L 688	101081684
L 689	101081785
L 690	101081682
L 691	101148507
L 692	101081478
L 693	101148504
L 694	101081782
L 695	101081884
L 696	101148506
L 697	101180727
L 698	101081680
