L0001
[[0,0], [0,0], [0,0], [0,0], [0,0], [0,0], [0,0], [0,0], [0,0], [0,0], [0,0], [0,0], [0,0], [0,0], [0,0], [0,0]]
[[0,0], [0,0], [0,2], [0,2], [0,2], [0,2], [0,2], [0,0], [0,0], [0,0], [0,0], [0,2], [0,2], [0,2], [0,2], [0,2]]
[[0,0], [0,0], [0,2], [0,2], [0,2], [0,2], [0,2], [0,0], [0,0], [0,0], [0,0], [0,2], [0,2], [0,2], [0,2], [0,2]]
[[0,0], [0,0], [0,2], [0,2], [0,2], [0,2], [0,2], [0,0], [0,0], [0,0], [0,0], [0,2], [0,2], [0,2], [0,2], [0,2]]
[[0,0], [0,0], [0,2], [0,2], [0,2], [0,2], [0,2], [0,0], [0,0], [0,0], [0,0], [0,2], [0,2], [0,2], [0,2], [0,2]]
[[0,0], [0,0], [0,2], [0,2], [0,2], [0,2], [0,2], [0,0], [0,0], [0,0], [0,0], [0,0], [0,0], [0,0], [0,0], [0,0]]
[[0,0], [0,0], [0,2], [0,2], [0,2], [0,2], [0,2], [0,0], [0,0], [0,0], [0,0], [0,2], [0,2], [0,2], [0,2], [0,2]]
[[0,0], [0,0], [0,2], [0,2], [0,2], [0,2], [0,2], [0,0], [0,0], [0,0], [0,0], [0,2], [0,2], [0,2], [0,2], [0,2]]
[[0,0], [0,0], [0,0], [0,0], [0,0], [0,0], [0,0], [0,0], [0,0], [0,0], [0,0], [0,2], [0,2], [0,2], [0,2], [0,2]]
[[0,0], [0,0], [0,0], [0,0], [0,0], [0,0], [0,0], [0,0], [0,0], [0,0], [0,0], [0,2], [0,2], [0,2], [0,2], [0,2]]
(16×10)
